"","","South","South"
"Year","Time","pv","gas"
"2016",780.00,3459.50,3847.39
"2016",781.00,3607.46,3723.39
"2016",782.00,3558.20,3237.16
"2016",783.00,3330.03,3558.42
"2016",784.00,2794.06,4178.26
"2016",785.00,1776.16,5122.43
"2016",786.00,558.30,6303.42
"2016",787.00,46.33,6915.85
"2016",788.00,0.00,7669.09
"2016",789.00,0.00,7749.28
"2016",790.00,0.00,7440.52
"2016",791.00,0.00,7174.16
"2016",792.00,0.00,6878.31
"2016",793.00,0.00,6127.16
"2016",794.00,0.00,5414.72
"2016",795.00,0.00,4945.60
"2016",796.00,0.00,4712.42
"2016",797.00,0.00,4581.55
"2016",798.00,0.00,4504.13
"2016",799.00,0.00,4503.21
"2016",800.00,76.79,4554.53
