"","","Mid","Mid","South","South","North","North"
"Year","Time","pv","gas","pv","gas","pv","gas"
"2016",343.00,0.00,65307.09,0.00,4195.37,0.00,15593.27
"2016",344.00,177.64,67125.08,66.55,4655.09,0.00,15937.62
"2016",345.00,6421.07,60041.89,888.34,4767.86,0.00,15756.82
"2016",346.00,10552.28,56210.46,2535.72,3925.09,49.26,15782.59
"2016",347.00,13407.30,54072.22,3530.27,3374.77,128.07,15607.75
"2016",348.00,14408.62,52406.96,3911.15,3178.22,163.53,15506.26
"2016",349.00,15866.93,50400.03,4033.57,3125.85,179.30,15347.21
"2016",350.00,13214.84,52216.20,4008.85,2693.42,107.38,15308.09
"2016",351.00,8304.21,56381.23,3789.83,3046.08,11.82,15679.73
"2016",352.00,1428.87,63957.02,3139.95,3825.92,0.00,15954.13
"2016",353.00,0.00,70203.44,1655.53,5267.94,0.00,15903.86
"2016",354.00,0.00,70533.01,343.12,6610.77,0.00,15603.78
"2016",355.00,0.00,68626.74,14.51,7273.02,0.00,15247.42
"2016",356.00,0.00,64492.32,0.00,7563.10,0.00,14696.01
"2016",357.00,0.00,61614.65,0.00,7530.85,0.00,14107.09
"2016",358.00,0.00,59653.62,0.00,7323.47,0.00,13305.86
"2016",359.00,0.00,55016.69,0.00,6967.71,0.00,12398.85
"2016",360.00,0.00,51627.87,0.00,6542.83,0.00,11744.66
"2016",361.00,0.00,49713.91,0.00,5663.57,0.00,11518.09
"2016",362.00,0.00,48902.01,0.00,5065.42,0.00,11356.79
"2016",363.00,0.00,49129.73,0.00,4711.50,0.00,11388.30
"2016",364.00,0.00,50297.13,0.00,4530.86,0.00,11547.35
"2016",365.00,0.00,52905.76,0.00,4449.75,0.00,12056.75
"2016",366.00,0.00,59703.58,0.00,4417.49,0.00,13482.16
"2016",367.00,0.00,66532.14,0.00,4451.60,0.00,14933.83
"2016",368.00,1113.68,67256.51,65.84,4766.40,0.00,15204.66
"2016",369.00,4656.59,63184.19,862.26,4862.14,0.00,15062.12
"2016",370.00,7342.59,60953.62,2481.03,4091.29,143.83,14936.29
"2016",371.00,9763.61,59460.76,3489.05,3434.42,253.18,14745.92
"2016",372.00,10782.11,57703.38,3892.33,3134.37,297.52,14510.28
"2016",373.00,9771.91,58030.44,4023.00,3078.35,287.66,14456.36
"2016",374.00,7823.31,59392.94,3982.38,2610.22,179.30,14652.51
"2016",375.00,4662.61,62121.27,3746.16,3049.20,29.55,15201.36
"2016",376.00,869.00,66324.19,3070.20,3907.65,0.00,15787.58
"2016",377.00,0.00,70467.67,1588.66,5323.75,0.00,16073.41
"2016",378.00,0.00,70661.76,338.63,6596.83,0.00,15761.32
"2016",379.00,0.00,68531.61,15.21,7287.07,0.00,15451.48
"2016",380.00,0.00,64713.31,0.00,7586.14,0.00,14990.85
"2016",381.00,0.00,62130.62,0.00,7559.42,0.00,14411.68
"2016",382.00,0.00,59765.07,0.00,7293.98,0.00,13535.43
"2016",383.00,0.00,54648.69,0.00,6963.11,0.00,12657.67
"2016",384.00,0.00,50717.97,0.00,6515.18,0.00,12152.03
"2016",385.00,0.00,48287.09,0.00,5688.46,0.00,11962.22
